z,n,name,levelEnergy(MeV),halflife,decayModes
7,14,21N,0.0,84.8 ms 67,B- = 100.00,
7,14,21N,0.0,84.8 ms 67,BN = 86.00,
7,14,21N,0.0,84.8 ms 67,B2N ? ,
7,14,21N,0.0,84.8 ms 67,B3N ? ,
7,17,24N,0.0,LT 52 ns ,N ? ,
7,16,23N,0.0,14.1 ms +12-13,B- = 100.00,
7,16,23N,0.0,14.1 ms +12-13,BN = 42.20,
7,16,23N,0.0,14.1 ms +12-13,B2N = 8.00,
7,16,23N,0.0,14.1 ms +12-13,B3N LT 3.40,
7,18,25N,,,
7,11,18N,0.0,619 ms 2,B- = 100.00,
7,11,18N,0.0,619 ms 2,BA = 12.20,
7,11,18N,0.0,619 ms 2,BN = 10.90,
7,11,18N,0.0,619 ms 2,B2N ? ,
7,10,17N,0.0,4171 ms 4,B- = 100.00,
7,10,17N,0.0,4171 ms 4,BN = 95.10,
7,10,17N,0.0,4171 ms 4,BA = 0.00,
7,13,20N,0.0,136 ms 3,B- = 100.00,
7,13,20N,0.0,136 ms 3,BN = 42.90,
7,13,20N,0.0,136 ms 3,B2N ? ,
7,12,19N,0.0,336 ms 3,B- = 100.00,
7,12,19N,0.0,336 ms 3,BN = 41.80,
7,12,19N,0.0,336 ms 3,B2N ? ,
7,3,10N,0.0,,P = 100.00,
7,4,11N,0.0,0.83 mev 3,P = 100.00,
7,5,12N,0.0,11.000 ms 16,EC = 100.00,
7,6,13N,0.0,9.965 m 4,EC = 100.00,
7,7,14N,0.0,STABLE,
7,8,15N,0.0,STABLE,
7,9,16N,0.0,7.13 s 2,B- = 100.00,
7,9,16N,0.0,7.13 s 2,BA = 1.2E-3,
8,17,25O,0.0,6.3E-9 ps +11-6,N = 100.00,
8,18,26O,0.0,4.5 ps +32-34,2N = 100.00,
8,15,23O,0.0,97 ms 8,B- = 100.00,
8,15,23O,0.0,97 ms 8,BN = 7.00,
8,16,24O,0.0,72 ms 5,B- = 100.00,
8,16,24O,0.0,72 ms 5,BN = 41.00,
8,19,27O,,LT 260 ns ,N ? ,
8,10,18O,0.0,STABLE,
8,13,21O,0.0,3.42 s 10,B- = 100.00,
8,14,22O,0.0,2250 ms 90,B- = 100.00,
8,14,22O,0.0,2250 ms 90,BN LT 22.00,
8,11,19O,0.0,26.88 s 5,B- = 100.00,
8,12,20O,0.0,13.51 s 5,B- = 100.00,
8,20,28O,,LT 100 ns ,N ? ,
8,3,11O,,,
8,4,12O,0.0,0.40 mev 25,P  ,
8,5,13O,0.0,8.58 ms 5,EC = 100.00,
8,5,13O,0.0,8.58 ms 5,EP = 11.30,
8,6,14O,0.0,70.620 s 15,EC = 100.00,
8,7,15O,0.0,122.24 s 16,EC = 100.00,
8,8,16O,0.0,STABLE,
8,9,17O,0.0,STABLE,
9,18,27F,0.0,5.0 ms 2,B- = 100.00,
9,18,27F,0.0,5.0 ms 2,BN = 90.00,
9,18,27F,0.0,5.0 ms 2,B2N ? ,
9,18,27F,0.0,5.0 ms 2,B3N ? ,
9,19,28F,0.0,AP 0.046 as ,N  ,
9,16,25F,0.0,80 ms 9,B- = 100.00,
9,16,25F,0.0,80 ms 9,BN = 19.50,
9,16,25F,0.0,80 ms 9,B2N ? ,
9,17,26F,0.0,8.2 ms 9,B- = 100.00,
9,17,26F,0.0,8.2 ms 9,BN = 13.50,
9,17,26F,0.0,8.2 ms 9,B2N ? ,
9,10,19F,0.0,STABLE,
9,11,20F,0.0,11.07 s 6,B- = 100.00,
9,14,23F,0.0,2230 ms 14,B- = 100.00,
9,14,23F,0.0,2230 ms 14,BN LT 14.00,
9,15,24F,0.0,382 ms 16,B- = 100.00,
9,15,24F,0.0,382 ms 16,BN LT 5.90,
9,12,21F,0.0,4.158 s 20,B- = 100.00,
9,13,22F,0.0,4230 ms 40,B- = 100.00,
9,13,22F,0.0,4230 ms 40,BN LT 11.0,
9,21,30F,0.0,,N  ,
9,22,31F,0.0,,B- = 100.00,
9,22,31F,0.0,,BN ? ,
9,22,31F,0.0,,B2N ? ,
9,22,31F,0.0,,B3N ? ,
9,20,29F,0.0,2.67 ms 21,B- = 100.00,
9,20,29F,0.0,2.67 ms 21,BN AP 20.00,
9,20,29F,0.0,2.67 ms 21,B2N ? ,
9,20,29F,0.0,2.67 ms 21,B3N ? ,
9,4,13F,,,
9,5,14F,0.0,910 kev 100,P  ,
9,6,15F,0.0,660 kev 2,P = 100.00,
9,7,16F,0.0,40 kev 20,P = 100.00,
9,8,17F,0.0,64.49 s 16,EC = 100.00,
9,9,18F,0.0,109.77 m 5,EC = 100.00,
10,10,20Ne,0.0,STABLE,
10,11,21Ne,0.0,STABLE,
10,12,22Ne,0.0,STABLE,
10,13,23Ne,0.0,37.24 s 12,B- = 100.00,
10,14,24Ne,0.0,3.38 m 2,B- = 100.00,
10,15,25Ne,0.0,602 ms 8,B- = 100.00,
10,16,26Ne,0.0,197 ms 2,B- = 100.00,
10,16,26Ne,0.0,197 ms 2,BN = 0.13,
10,17,27Ne,0.0,31.5 ms 13,B- = 100.00,
10,17,27Ne,0.0,31.5 ms 13,BN = 2.00,
10,17,27Ne,0.0,31.5 ms 13,B2N ? ,
10,18,28Ne,0.0,20 ms 1,B- = 100.00,
10,18,28Ne,0.0,20 ms 1,BN = 12.00,
10,18,28Ne,0.0,20 ms 1,B2N = 3.70,
10,19,29Ne,0.0,15 ms 3,B- = 100.00,
10,19,29Ne,0.0,15 ms 3,BN = 28.00,
10,19,29Ne,0.0,15 ms 3,B2N = 4.00,
10,19,29Ne,0.0,15 ms 3,B3N ? ,
10,20,30Ne,0.0,7.39 ms 11,B- = 100.00,
10,20,30Ne,0.0,7.39 ms 11,BN = 12.60,
10,20,30Ne,0.0,7.39 ms 11,B2N = 8.90,
10,20,30Ne,0.0,7.39 ms 11,B3N ? ,
10,21,31Ne,0.0,3.4 ms 8,B- = 100.00,
10,21,31Ne,0.0,3.4 ms 8,BN ? ,
10,22,32Ne,0.0,3.5 ms 9,B- = 100.00,
10,22,32Ne,0.0,3.5 ms 9,BN ? ,
10,22,32Ne,0.0,3.5 ms 9,B2N ? ,
10,22,32Ne,0.0,3.5 ms 9,B3N ? ,
10,23,33Ne,0.0,LT 180 ns ,N  ,
10,24,34Ne,0.0,GT 60 ns ,B- = 100.00,
10,24,34Ne,0.0,GT 60 ns ,B2N ? ,
10,24,34Ne,0.0,GT 60 ns ,B3N ? ,
10,24,34Ne,0.0,GT 60 ns ,BN ? ,
10,9,19Ne,0.0,17.22 s 2,EC = 100.00,
10,7,17Ne,0.0,109.2 ms 6,EC = 100.00,
10,7,17Ne,0.0,109.2 ms 6,EP = 100.00,
10,7,17Ne,0.0,109.2 ms 6,EA  ,
10,8,18Ne,0.0,1.6670 s 17,EC = 100.00,
10,5,15Ne,,,
10,6,16Ne,0.0,9E-21 s ,2P = 100.00,
11,9,20Na,0.0,447.9 ms 23,EC = 100.00,
11,9,20Na,0.0,447.9 ms 23,EA = 20.10,
11,8,19Na,0.0,LT 40 ns ,P  ,
11,7,18Na,0.0,1.3E-21 s 4,P = 100.00,
11,6,17Na,,,
11,21,32Na,0.0,13.2 ms 4,B- = 100.00,
11,21,32Na,0.0,13.2 ms 4,BN = 24.00,
11,21,32Na,0.0,13.2 ms 4,B2N = 8.00,
11,21,32Na,0.0,13.2 ms 4,B3N ? ,
11,20,31Na,0.0,17.4 ms 4,B- = 100.00,
11,20,31Na,0.0,17.4 ms 4,BN = 37.00,
11,20,31Na,0.0,17.4 ms 4,B2N = 0.79,
11,20,31Na,0.0,17.4 ms 4,B3N ? ,
11,23,34Na,0.0,5.0 ms 9,B- = 100.00,
11,23,34Na,0.0,5.0 ms 9,BN AP 95.00,
11,23,34Na,0.0,5.0 ms 9,B2N ? ,
11,23,34Na,0.0,5.0 ms 9,B3N ? ,
11,22,33Na,0.0,8.1 ms 4,B- = 100.00,
11,22,33Na,0.0,8.1 ms 4,BN = 47.00,
11,22,33Na,0.0,8.1 ms 4,B2N = 13.00,
11,22,33Na,0.0,8.1 ms 4,B3N ? ,
11,25,36Na,0.0,LT 180 ns ,N  ,
11,24,35Na,0.0,1.8 ms 5,B- = 100.00,
11,24,35Na,0.0,1.8 ms 5,B2N ? ,
11,24,35Na,0.0,1.8 ms 5,B3N ? ,
11,24,35Na,0.0,1.8 ms 5,BN ? ,
11,27,38Na,,,
11,26,37Na,0.0,,B- = 100.00,
11,26,37Na,0.0,,BN ? ,
11,26,37Na,0.0,,B2N ? ,
11,26,37Na,0.0,,B3N ? ,
11,28,39Na,,,
11,10,21Na,0.0,22.49 s 4,EC = 100.00,
11,12,23Na,0.0,STABLE,
11,11,22Na,0.0,2.6018 y 22,EC = 100.00,
11,14,25Na,0.0,59.1 s 6,B- = 100.00,
11,13,24Na,0.0,14.997 h 12,B- = 100.00,
11,16,27Na,0.0,301 ms 6,B- = 100.00,
11,16,27Na,0.0,301 ms 6,BN = 0.13,
11,15,26Na,0.0,1.07128 s 25,B- = 100.00,
11,18,29Na,0.0,44.1 ms 9,B- = 100.00,
11,18,29Na,0.0,44.1 ms 9,BN = 25.00,
11,18,29Na,0.0,44.1 ms 9,B2N ? ,
11,17,28Na,0.0,30.5 ms 4,B- = 100.00,
11,17,28Na,0.0,30.5 ms 4,BN = 0.84,
11,19,30Na,0.0,48 ms 2,B- = 100.00,
11,19,30Na,0.0,48 ms 2,BN = 30.00,
11,19,30Na,0.0,48 ms 2,B2N = 1.27,
11,19,30Na,0.0,48 ms 2,BA  ,
12,11,23Mg,0.0,11.317 s 11,EC = 100.00,
12,10,22Mg,0.0,3.8755 s 1,EC = 100.00,
12,13,25Mg,0.0,STABLE,
12,12,24Mg,0.0,STABLE,
12,15,27Mg,0.0,9.458 m 12,B- = 100.00,
12,14,26Mg,0.0,STABLE,
12,17,29Mg,0.0,1.30 s 12,B- = 100.00,
12,16,28Mg,0.0,20.915 h 9,B- = 100.00,
12,19,31Mg,0.0,236 ms 20,B- = 100.00,
12,19,31Mg,0.0,236 ms 20,BN = 6.20,
12,18,30Mg,0.0,317 ms 5,B- = 100.00,
12,18,30Mg,0.0,317 ms 5,BN LT 0.060,
12,20,32Mg,0.0,86 ms 5,B- = 100.00,
12,20,32Mg,0.0,86 ms 5,BN = 5.40,
12,22,34Mg,0.0,20 ms 10,B- = 100.00,
12,22,34Mg,0.0,20 ms 10,BN = 58.00,
12,22,34Mg,0.0,20 ms 10,B2N ? ,
12,21,33Mg,0.0,89.4 ms 10,B- = 100.00,
12,21,33Mg,0.0,89.4 ms 10,BN = 14.00,
12,21,33Mg,0.0,89.4 ms 10,B2N ? ,
12,24,36Mg,0.0,5.8 ms 19,B- = 100.00,
12,24,36Mg,0.0,5.8 ms 19,BN = 48.00,
12,24,36Mg,0.0,5.8 ms 19,B2N ? ,
12,24,36Mg,0.0,5.8 ms 19,B3N ? ,
12,23,35Mg,0.0,11.3 ms 6,B- = 100.00,
12,23,35Mg,0.0,11.3 ms 6,BN = 52.00,
12,23,35Mg,0.0,11.3 ms 6,B2N ? ,
12,23,35Mg,0.0,11.3 ms 6,B3N ? ,
12,26,38Mg,0.0,,B- = 100.00,
12,26,38Mg,0.0,,BN ? ,
12,26,38Mg,0.0,,B2N ? ,
12,26,38Mg,0.0,,B3N ? ,
12,25,37Mg,0.0,8 ms 4,B- = 100.00,
12,25,37Mg,0.0,8 ms 4,B2N ? ,
12,25,37Mg,0.0,8 ms 4,B3N ? ,
12,25,37Mg,0.0,8 ms 4,BN ? ,
12,28,40Mg,0.0,,B3N ? ,
12,28,40Mg,0.0,,B- = 100.00,
12,28,40Mg,0.0,,BN ? ,
12,28,40Mg,0.0,,B2N ? ,
12,9,21Mg,0.0,3 3 122 ms ,EC = 100.00,
12,9,21Mg,0.0,3 3 122 ms ,EP = 32.60,
12,9,21Mg,0.0,3 3 122 ms ,EA LT 0.50,
12,27,39Mg,0.0,LT 180 ns ,N  ,
12,8,20Mg,0.0,90.8 ms 24,EC = 100.00,
12,8,20Mg,0.0,90.8 ms 24,EP AP 27.00,
12,7,19Mg,,4.0 ps 15,2P = 100.00,
12,29,41Mg,,,
13,9,22Al,0.0,91.1 ms 5,EC = 100.00,
13,9,22Al,0.0,91.1 ms 5,EP = 55.00,
13,9,22Al,0.0,91.1 ms 5,E2P = 1.10,
13,9,22Al,0.0,91.1 ms 5,EA = 0.04,
13,8,21Al,0.0,LT 35 ns ,P  ,
13,22,35Al,0.0,37.6 ms 14,B- = 100.00,
13,22,35Al,0.0,37.6 ms 14,BN = 38.00,
13,22,35Al,0.0,37.6 ms 14,B2N ? ,
13,23,36Al,0.0,94 ms 37,B- = 100.00,
13,23,36Al,0.0,94 ms 37,BN LT 31.00,
13,23,36Al,0.0,94 ms 37,B2N ? ,
13,23,36Al,0.0,94 ms 37,B3N ? ,
13,20,33Al,0.0,41.7 ms 2,B- = 100.00,
13,20,33Al,0.0,41.7 ms 2,BN = 8.50,
13,21,34Al,0.0,56.3 ms 6,B- = 100.00,
13,21,34Al,0.0,56.3 ms 6,BN = 26.00,
13,21,34Al,0.0,56.3 ms 6,B2N ? ,
13,26,39Al,0.0,7.6 ms 16,B- = 100.00,
13,26,39Al,0.0,7.6 ms 16,BN = 97.00,
13,26,39Al,0.0,7.6 ms 16,B2N ? ,
13,26,39Al,0.0,7.6 ms 16,B3N ? ,
13,27,40Al,0.0,,B- = 100.00,
13,27,40Al,0.0,,BN ? ,
13,27,40Al,0.0,,B2N ? ,
13,27,40Al,0.0,,B3N ? ,
13,24,37Al,0.0,10.7 ms 13,B- = 100.00,
13,24,37Al,0.0,10.7 ms 13,BN = 55.000,
13,24,37Al,0.0,10.7 ms 13,B2N ? ,
13,24,37Al,0.0,10.7 ms 13,B3N ? ,
13,25,38Al,0.0,7.6 ms 6,B- = 100.00,
13,25,38Al,0.0,7.6 ms 6,BN = 84.00,
13,25,38Al,0.0,7.6 ms 6,B2N ? ,
13,25,38Al,0.0,7.6 ms 6,B3N ? ,
13,28,41Al,0.0,,BN ? ,
13,28,41Al,0.0,,B- = 100.00,
13,28,41Al,0.0,,B2N ? ,
13,28,41Al,0.0,,B3N ? ,
13,29,42Al,0.0,,B- = 100.00,
13,29,42Al,0.0,,BN ? ,
13,29,42Al,0.0,,B2N ? ,
13,29,42Al,0.0,,B3N ? ,
13,30,43Al,0.0,,B3N ? ,
13,30,43Al,0.0,,B- = 100.00,
13,30,43Al,0.0,,BN ? ,
13,30,43Al,0.0,,B2N ? ,
13,11,24Al,0.0,2.053 s 4,EC = 100.00,
13,11,24Al,0.0,2.053 s 4,EA = 0.04,
13,11,24Al,0.0,2.053 s 4,EP = 1.6E-3,
13,12,25Al,0.0,7.183 s 12,EC = 100.00,
13,10,23Al,0.0,0.47 s 3,EC = 100.00,
13,10,23Al,0.0,0.47 s 3,EP = 0.46,
13,15,28Al,0.0,2.245 m 2,B- = 100.00,
13,16,29Al,0.0,6.56 m 6,B- = 100.00,
13,13,26Al,0.0,7.17E+05 y 24,EC = 100.00,
13,14,27Al,0.0,STABLE,
13,19,32Al,0.0,31.9 ms 8,B- = 100.00,
13,19,32Al,0.0,31.9 ms 8,BN = 0.70,
13,17,30Al,0.0,3.62 s 6,B- = 100.00,
13,18,31Al,0.0,644 ms 25,B- = 100.00,
13,18,31Al,0.0,644 ms 25,BN LT 1.60,
14,30,44Si,0.0,,B- = 100.00,
14,30,44Si,0.0,,BN ? ,
14,30,44Si,0.0,,B2N ? ,
14,30,44Si,0.0,,B3N ? ,
14,31,45Si,,,
14,12,26Si,0.0,2.2453 s 7,EC = 100.00,
14,13,27Si,0.0,4.15 s 4,EC = 100.00,
14,10,24Si,0.0,140.5 ms 15,EC = 100.00,
14,10,24Si,0.0,140.5 ms 15,EP = 45.00,
14,11,25Si,0.0,220 ms 3,EC = 100.00,
14,11,25Si,0.0,220 ms 3,EP = 35.00,
14,16,30Si,0.0,STABLE,
14,17,31Si,0.0,157.36 m 26,B- = 100.00,
14,14,28Si,0.0,STABLE,
14,15,29Si,0.0,STABLE,
14,18,32Si,0.0,153 y 19,B- = 100.00,
14,19,33Si,0.0,6.11 s 21,B- = 100.00,
14,23,37Si,0.0,90 ms 60,B- = 100.00,
14,23,37Si,0.0,90 ms 60,BN = 17.00,
14,23,37Si,0.0,90 ms 60,B2N ? ,
14,24,38Si,0.0,95 ms 10,B- = 100.00,
14,24,38Si,0.0,95 ms 10,BN = 28.00,
14,21,35Si,0.0,780 ms 120,B- = 100.00,
14,21,35Si,0.0,780 ms 120,BN LT 5.26,
14,22,36Si,0.0,450 ms 60,B- = 100.00,
14,22,36Si,0.0,450 ms 60,BN = 12.40,
14,27,41Si,0.0,20.0 ms 25,B- = 100.00,
14,27,41Si,0.0,20.0 ms 25,BN AP 61.00,
14,27,41Si,0.0,20.0 ms 25,B2N ? ,
14,27,41Si,0.0,20.0 ms 25,B3N ? ,
14,28,42Si,0.0,12.5 ms 35,B- = 100.00,
14,28,42Si,0.0,12.5 ms 35,BN ? ,
14,28,42Si,0.0,12.5 ms 35,B2N ? ,
14,28,42Si,0.0,12.5 ms 35,B3N ? ,
14,25,39Si,0.0,47.5 ms 20,B- = 100.00,
14,25,39Si,0.0,47.5 ms 20,BN = 60.00,
14,25,39Si,0.0,47.5 ms 20,B2N ? ,
14,26,40Si,0.0,33 ms 1,B- = 100.00,
14,26,40Si,0.0,33 ms 1,BN = 59.00,
14,26,40Si,0.0,33 ms 1,B2N ? ,
14,26,40Si,0.0,33 ms 1,B3N ? ,
14,20,34Si,0.0,2.77 s 20,B- = 100.00,
14,29,43Si,0.0,,B- = 100.00,
14,29,43Si,0.0,,BN ? ,
14,29,43Si,0.0,,B2N ? ,
14,29,43Si,0.0,,B3N ? ,
14,9,23Si,0.0,42.3 ms 4,EC = 100.00,
14,9,23Si,0.0,42.3 ms 4,EP = 71.00,
14,9,23Si,0.0,42.3 ms 4,E2P = 3.60,
14,8,22Si,0.0,29 ms 2,EC = 100.00,
14,8,22Si,0.0,29 ms 2,EP = 32.00,
15,25,40P,0.0,150 ms 8,B- = 100.00,
15,25,40P,0.0,150 ms 8,BN = 15.80,
15,25,40P,0.0,150 ms 8,B2N ? ,
15,24,39P,0.0,0.28 s 4,B- = 100.00,
15,24,39P,0.0,0.28 s 4,BN = 26.00,
15,23,38P,0.0,0.64 s 14,B- = 100.00,
15,23,38P,0.0,0.64 s 14,BN = 12.00,
15,22,37P,0.0,2.31 s 13,B- = 100.00,
15,22,37P,0.0,2.31 s 13,BN ? ,
15,29,44P,0.0,18.5 ms 25,B- = 100.00,
15,29,44P,0.0,18.5 ms 25,BN ? ,
15,29,44P,0.0,18.5 ms 25,B2N ? ,
15,29,44P,0.0,18.5 ms 25,B3N ? ,
15,28,43P,0.0,36.5 ms 15,B- = 100.00,
15,28,43P,0.0,36.5 ms 15,BN = 100.00,
15,28,43P,0.0,36.5 ms 15,B2N ? ,
15,28,43P,0.0,36.5 ms 15,B3N ? ,
15,27,42P,0.0,48.5 ms 15,B- = 100.00,
15,27,42P,0.0,48.5 ms 15,BN = 50.00,
15,27,42P,0.0,48.5 ms 15,B2N ? ,
15,26,41P,0.0,101 ms 5,B- = 100.00,
15,26,41P,0.0,101 ms 5,BN = 30.00,
15,26,41P,0.0,101 ms 5,B2N ? ,
15,21,36P,0.0,5.6 s 3,B- = 100.00,
15,21,36P,0.0,5.6 s 3,BN ? ,
15,20,35P,0.0,47.3 s 7,B- = 100.00,
15,32,47P,,,
15,31,46P,0.0,GT 200 ns ,B- = 100.00,
15,31,46P,0.0,GT 200 ns ,BN ? ,
15,31,46P,0.0,GT 200 ns ,B2N ? ,
15,31,46P,0.0,GT 200 ns ,B3N ? ,
15,30,45P,0.0,GT 200 ns ,B- = 100.00,
15,30,45P,0.0,GT 200 ns ,B2N ? ,
15,30,45P,0.0,GT 200 ns ,B3N ? ,
15,30,45P,0.0,GT 200 ns ,BN ? ,
15,14,29P,0.0,4.142 s 15,EC = 100.00,
15,13,28P,0.0,270.3 ms 5,EC = 100.00,
15,13,28P,0.0,270.3 ms 5,EP = 1.3E-3,
15,13,28P,0.0,270.3 ms 5,EA = 8.6E-4,
15,12,27P,0.0,260 ms 80,EC = 100.00,
15,12,27P,0.0,260 ms 80,EP = 0.07,
15,11,26P,0.0,43.7 ms 6,EC = 100.00,
15,11,26P,0.0,43.7 ms 6,EP = 36.80,
15,11,26P,0.0,43.7 ms 6,E2 P 2.16,
15,18,33P,0.0,25.35 d 11,B- = 100.00,
15,17,32P,0.0,14.268 d 5,B- = 100.00,
15,16,31P,0.0,STABLE,
15,15,30P,0.0,2.498 m 4,EC = 100.00,
15,10,25P,0.0,LT 30 ns ,P = 100.00,
15,19,34P,0.0,12.43 s 10,B- = 100.00,
15,9,24P,0.0,,EC ? ,
15,9,24P,0.0,,P ? ,
16,33,49S,0.0,LT 200 ns ,N  ,
16,32,48S,0.0,GE 200 ns ,B- = 100.00,
16,32,48S,0.0,GE 200 ns ,BN ? ,
16,32,48S,0.0,GE 200 ns ,B2N ? ,
16,32,48S,0.0,GE 200 ns ,B3N ? ,
16,31,47S,0.0,,B3N ? ,
